day,open,close,high,low,volume
2022-07-26,42.91,43.67,43.67,42.81,94107
2022-07-25,42.53,42.91,43.17,42.15,205742
2022-07-22,42.58,42.54,42.89,41.99,50176
2022-07-21,41.17,42.52,42.52,40.89,60550
2022-07-20,40.98,41.25,41.49,40.67,64857
2022-07-19,40.13,41.11,41.21,40.13,73122
2022-07-18,40.85,39.6,41.01,39.44,47827
2022-07-15,39.98,40.39,40.87,39.68,65794
2022-07-14,38.55,39.32,39.69,38.45,60351
2022-07-13,39,39.08,39.34,38.68,70223
2022-07-12,39.25,39.17,39.76,39.09,66147
2022-07-11,39.79,39.37,40.1,39.25,47080
2022-07-08,39.9,39.98,40.18,39.58,49999
2022-07-07,39.74,39.94,40.35,39.74,56287
2022-07-06,40.08,39.54,40.22,39.2,72082
2022-07-05,39.76,39.93,40.01,38.95,76570
2022-07-01,39.42,40.23,40.31,39.34,72500
2022-06-30,38.52,39.65,39.65,37.83,155016
2022-06-29,39.43,39.01,39.43,38.72,117069
2022-06-28,40.07,39.34,40.63,39.32,146112
2022-06-27,39.61,39.81,39.98,38.63,127241
